record_code,format_version,submission_date,reporting_agency,release_agency,coordinator,tag_code_or_release_id,tag_type,first_sequential_number,last_sequential_number,related_group_type,related_group_id,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,record_origin
"T","4.1","20020328","USFWS","USFWS","07","0501010611","3",,,,,"1","4","1992","19930127","19930127","6FCSASAF NSAN","6FCSABAT CNFH","6FCSA","P","H","E",,"8.6","92","N","5000","1136",,,"5000","9",,,"C","0.0079","34","100",,,"SAC R NORTH ST ANDERSON","COLEMAN NFH","SAC R AB COLLINSVILLE","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501010614","3",,,,,"1","4","1992","19930127","19930127","6FCSASAF NSAN","6FCSABAT CNFH","6FCSA","P","H","E",,"4.4","74","N","5000","2235",,,,,,,"C","0","35","100",,,"SAC R NORTH ST ANDERSON","COLEMAN NFH","SAC R AB COLLINSVILLE","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501010703","3",,,,,"1","4","1992","19930127","19930127","6FCSASAF NSAN","6FCSABAT CNFH","6FCSA","P","H","E",,"4.4","74","N","5000","1458",,,"5000","77",,,"C","0.0502","34","120",,,"SAC R NORTH ST ANDERSON","COLEMAN NFH","SAC R AB COLLINSVILLE","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501010705","3",,,,,"1","4","1992","19930127","19930127","6FCSASAF NSAN","6FCSABAT CNFH","6FCSA","P","H","E",,"4.3","73","N","5000","924",,,"5000","132",,,"C","0.125","33","200",,,"SAC R NORTH ST ANDERSON","COLEMAN NFH","SAC R AB COLLINSVILLE","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501010801","3",,,,,"1","3","1992","19930310","19930310","6FCSASAF BLRB","6FCSABAT CNFH","6FCSABAT CNFH","F","H","I",,"1.67",,"N","5000","54398",,,"5000","6111",,,"C","0.101","38","89",,,"SAC R BEL RBDD","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501010802","3",,,,,"1","3","1992","19930310","19930310","6FCSASAF BLRB","6FCSABAT CNFH","6FCSABAT CNFH","F","H","I",,"1.67",,"N","5000","56721",,,"5000","6513",,,"C","0.103","33","97",,,"SAC R BEL RBDD","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501010803","3",,,,,"1","3","1992","19930426","19930426","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","I",,"2.81",,"N","5000","59697",,,"5000","664",,,"C","0.011","33","92",,">90/LB GROUP   FLUSHING FLOWS INCREASING FROM 4500 TO 8000 CFS","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501010804","3",,,,,"1","3","1992","19930426","19930426","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","I",,"4.91",,"N","5000","56131",,,"5000","5484",,,"C","0.089","52","90",,"=90/LB GROUP   FLUSHING FLOWS INCREASING FROM 4500 TO 8000 CFS","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501010805","3",,,,,"1","3","1992","19930426","19930426","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","I",,"5.79",,"N","5000","59440",,,"5000","2541",,,"C","0.041","27","99",,"<90/LB GROUP   FLUSHING FLOWS INCREASING FROM 4500 TO 8000 CFS","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501010908","3",,,,,"1","3","1993","19940310","19940310","6FCSASAF BLRB","6FCSABAT CNFH","6FCSABAT CNFH","F","H","I",,"0.9","45","N","5000","49422",,,"5000","4769",,,"C","0.088","20","200",,,"SAC R BEL RBDD","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501010909","3",,,,,"1","3","1993","19940310","19940310","6FCSASAF BLRB","6FCSABAT CNFH","6FCSABAT CNFH","F","H","I",,"0.89","45","N","5000","52860",,,"5000","4224",,,"C","0.074","19","200",,,"SAC R BEL RBDD","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501011011","3",,,,,"1","4","1994","19950126","19950126","6FCSASAF BONN","6FCSABAT CNFH","6FCSASAF","P","H","E",,"4.99",,"N","5000","1263",,,"5000","39",,,"C","0.03","41","100",,"GROUP=19F","SAC R BONNYVIEW BOAT RAMP","COLEMAN NFH","SAC R AB FEATHER","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501011012","3",,,,,"1","4","1994","19950126","19950126","6FCSASAF BONN","6FCSABAT CNFH","6FCSASAF","P","H","E",,"4.31",,"N","5000","1063",,,"5000","105",,,"C","0.0899","41","100",,"GROUP=19E","SAC R BONNYVIEW BOAT RAMP","COLEMAN NFH","SAC R AB FEATHER","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501011101","3",,,,,"1","4","1994","19950126","19950126","6FCSASAF BONN","6FCSABAT CNFH","6FCSASAF","P","H","E",,"8.27",,"N","5000","1642",,,,,,,"C","0","40","100",,"GROUP=13F","SAC R BONNYVIEW BOAT RAMP","COLEMAN NFH","SAC R AB FEATHER","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501011106","3",,,,,"1","4","1994","19950126","19950126","6FCSASAF BONN","6FCSABAT CNFH","6FCSASAF","P","H","E",,"6.99",,"N","5000","1873",,,,,,,"C","0","39","100",,"GROUP=16I;  WATER MUDDY & HIGH","SAC R BONNYVIEW BOAT RAMP","COLEMAN NFH","SAC R AB FEATHER","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501011112","3",,,,,"1","4","1994","19950126","19950126","6FCSASAF BONN","6FCSABAT CNFH","6FCSASAF","P","H","E",,"9.12",,"N","5000","1258",,,"5000","39",,,"C","0.0301","37","100",,"GROUP=6F","SAC R BONNYVIEW BOAT RAMP","COLEMAN NFH","SAC R AB FEATHER","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501011115","3",,,,,"1","4","1994","19950126","19950126","6FCSASAF BONN","6FCSABAT CNFH","6FCSASAF","P","H","E",,"7.08",,"N","5000","1389",,,"5000","154",,,"C","0.0998","37","100",,"GROUP=4E","SAC R BONNYVIEW BOAT RAMP","COLEMAN NFH","SAC R AB FEATHER","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501011201","3",,,,,"1","4","1994","19950126","19950126","6FCSASAF BONN","6FCSABAT CNFH","6FCSASAF","P","H","E",,"6.91",,"N","5000","1452",,,"5000","60",,,"C","0.0397","37","100",,"GROUP=4D","SAC R BONNYVIEW BOAT RAMP","COLEMAN NFH","SAC R AB FEATHER","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501011204","3",,,,,"1","3","1994","19950310","19950310","6FCSASAF BLRB","6FCSABAT CNFH","6FCSABAT CNFH","F","H","E",,"1.31",,"N","5000","46730",,,"5000","3680",,,"C","0.073","35","150",,"EXCESS FRY STUDY GROUP","SAC R BEL RBDD","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501011205","3",,,,,"1","3","1994","19950310","19950310","6FCSASAF BLRB","6FCSABAT CNFH","6FCSABAT CNFH","F","H","E",,"1.29",,"N","5000","45472",,,"5000","5449",,,"C","0.107","33","150",,"EXCESS FRY STUDY GROUP","SAC R BEL RBDD","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501011206","3",,,,,"1","3","1994","19950424","19950424","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","E",,"5.39",,"N","5000","52653",,,,,,,"C","0","0","0",,"< 90/LB STUDY","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501011207","3",,,,,"1","3","1994","19950424","19950424","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","E",,"4.76",,"N","5000","50036",,,,,,,"C","0","0","0",,"@ 90/LB STUDY","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501011208","3",,,,,"1","3","1994","19950424","19950424","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","E",,"2.85",,"N","5000","50718",,,,,,,"C","0","0","0",,"> 90/LB STUDY","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20041207","USFWS","USFWS","07","0501011514","3",,,,,"1","3","1999","20000313","20000313","6FCSASAF BLRB","6FCSABAT CNFH","6FCSABAT CNFH","F","H","I","FR","1.99","57","N","5000","48798","0000","246","5000","246",,,"C","0.005","32","200",,"STOCKTON IN RIVER SURVIVAL STUDY","SAC R BEL RBDD","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20041207","USFWS","USFWS","07","0501011515","3",,,,,"1","3","1999","20000314","20000314","6FCSASBF CLKG","6FCSABAT CNFH","6FCSABAT CNFH","F","H","I","FR","2.06","57","N","5000","46216",,,"5000","2690",,,"C","0.055","28","200",,"STOCKTON IN RIVER SURVIVAL STUDY","SAC R AT CLARKSBURG","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20041207","USFWS","USFWS","07","0501020101","3",,,,,"1","3","1999","20000306","20000306","6FCSASAF BLRB","6FCSABAT CNFH","6FCSABAT CNFH","F","H","I","FR","1.78","57","N","5000","47098","0000","488","5000","1220",,,"C","0.025","32","200",,"STOCKTON IN RIVER SURVIVAL STUDY","SAC R BEL RBDD","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20041207","USFWS","USFWS","07","0501020102","3",,,,,"1","3","1999","20000307","20000307","6FCSASBF CLKG","6FCSABAT CNFH","6FCSABAT CNFH","F","H","I","FR","1.72","57","N","5000","47168",,,"5000","963",,,"C","0.02","28","200",,"STOCKTON IN RIVER SURVIVAL STUDY","SAC R AT CLARKSBURG","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20041207","USFWS","USFWS","07","0501020103","3",,,,,"1","3","2002","20030307","20030307","6FCSASBF CLKG","6FCSABAT CNFH","6FCSABAT CNFH","P","H","E","FR","2.37","62","N","5000","47176",,,"5000","2760","0000","251","C","0.06","22","200",,"Stockton study group","SAC R AT CLARKSBURG","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20031118","USFWS","USFWS","07","0501020104","3",,,,,"1","3","2002","20030306","20030306","6FCSASAF RBDD","6FCSABAT CNFH","6FCSABAT CNFH","P","H","P","FR","2.37","60","N","5000","49896",,,"5000","504",,,"C","0.01","24","200",,"FALL FRY RELEASE","SAC R RED BLUFF DIV DAM","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20041207","USFWS","USFWS","07","0501020105","3",,,,,"1","3","2002","20030221","20030221","6FCSASBF CLKG","6FCSABAT CNFH","6FCSABAT CNFH","P","H","E","FR","2","53","N","5000","49848",,,"5000","250",,,"C","0.005","29","200",,"Stockton study group","SAC R AT CLARKSBURG","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20041207","USFWS","USFWS","07","0501020106","3",,,,,"1","3","2002","20030220","20030220","6FCSASAF RBDD","6FCSABAT CNFH","6FCSABAT CNFH","P","H","P","FR","2.45","55","N","5000","50147",,,,,,,"C","0","22","200",,"Stockton study group","SAC R RED BLUFF DIV DAM","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20070201","USFWS","USFWS","07","0501020107","3",,,,,"1","3","2004","20050218","20050218","6FCSASBF CLKG","6FCSABAT CNFH","6FCSABAT CNFH","P","H","B","FR","1.3","48","N","5000","48360",,,"5000","1527",,,"C","0.031","18","196",,"Stockton release group, low tag loss days result of water loss","SAC R AT CLARKSBURG","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20051109","USFWS","USFWS","07","0501020108","3",,,,,"1","3","2004","20050218","20050218","6FCSASAF RBDD","6FCSABAT CNFH","6FCSABAT CNFH","P","H","B","FR","1.4","49","N","5000","49512",,,"5000","527",,,"C","0.0105","13","190",,"Stockton release group, low tag loss days result of water loss","SAC R RED BLUFF DIV DAM","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20051109","USFWS","USFWS","07","0501020109","3",,,,,"1","3","2004","20050307","20050307","6FCSASAF RBDD","6FCSABAT CNFH","6FCSABAT CNFH","P","H","B","FR","1.34","53","N","5000","25242",,,"5000","156",,,"W","0.0061","32","163",,"Stockton release group; high mortality due to CNFH power failure, total mort est","SAC R RED BLUFF DIV DAM","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20060830","USFWS","USFWS","07","0501020114","3",,,,,"1","3","1995","19960314","19960314","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","I",,"3.45","65","N","5000","295384",,,"0009","3764223","5000","42971","C","0.127","23","400",,"SMOLT - IHN+","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20060830","USFWS","USFWS","07","0501020115","3",,,,,"1","3","1995","19960329","19960329","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","I",,"3.47","69","N","5000","308443",,,"0009","3787025","5000","12184","C","0.038","35","400",,"SMOLT","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20060830","USFWS","USFWS","07","0501020201","3",,,,,"1","3","1995","19960423","19960423","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","I",,"4.7","79","N","5000","268960",,,"0009","3868300","5000","7463","C","0.027","31","400",,"SMOLT, APPROXIMATELY 57,000 CWT'S LOST TO IHN PRIOR TO RELEASE,  +++++IHN","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501020205","3",,,,,"1","7","1995","19960601","19960601","3F42001  36     R","3F42001  290131 H02","3F42001  290001 S02",,"H","O",,"3.36",,"N","5000","294343",,,"0000","0","5000","4757",,"0.0159","31","503",,"KB 02 Columbia River       K-Basin","COL R NEAR BASIN 36","LTL WHITE SALMON NFH","COLUMBIA R BRIGHTS","WA","UPCR","MNPR","C"
"T","4.1","20060830","USFWS","USFWS","07","0501020208","3",,,,,"1","3","1996","19970401","19970401","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B",,"5.25","72","N","5000","30589",,,"0009","400478","5000","4571","C","0.13","47",,,"SMOLTS","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20060830","USFWS","USFWS","07","0501020209","3",,,,,"1","3","1996","19970401","19970401","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B",,"5.15","73","N","5000","32018",,,"0009","399662","5000","4366","C","0.12","44",,,"SMOLTS","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20060830","USFWS","USFWS","07","0501020210","3",,,,,"1","3","1996","19970401","19970401","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B",,"5.19","73","N","5000","33307",,,"0009","401098","5000","2896","C","0.08","42",,,"SMOLTS","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20060830","USFWS","USFWS","07","0501020211","3",,,,,"1","3","1996","19970401","19970401","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B",,"4.62","71","N","5000","30962",,,"0009","397914","5000","4626","C","0.13","42",,,"SMOLTS","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20060830","USFWS","USFWS","07","0501020212","3",,,,,"1","3","1996","19970401","19970401","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B",,"4.68","69","N","5000","32813",,,"0009","407442","5000","2853","C","0.08","37",,,"SMOLTS","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20060830","USFWS","USFWS","07","0501020213","3",,,,,"1","3","1996","19970401","19970401","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B",,"4.63","70","N","5000","28501",,,"0009","403354","5000","8039","C","0.22","36",,,"SMOLTS","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20060830","USFWS","USFWS","07","0501020214","3",,,,,"1","3","1996","19970401","19970401","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B",,"4.62","72","N","5000","32178",,,"0009","402028","5000","4388","C","0.12","36",,,"SMOLTS","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20060830","USFWS","USFWS","07","0501020215","3",,,,,"1","3","1996","19970401","19970401","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B",,"4.42","69","N","5000","34936",,,"0009","404040","5000","1456","C","0.04","32",,,"SMOLTS","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20060830","USFWS","USFWS","07","0501020301","3",,,,,"1","3","1996","19970401","19970401","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B",,"4.1","71","N","5000","33195",,,"0009","402106","5000","3283","C","0.09","34",,,"SMOLTS","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20060830","USFWS","USFWS","07","0501020302","3",,,,,"1","3","1996","19970415","19970415","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B",,"5.87","75","N","5000","30619",,,"0009","369456","5000","3784","C","0.11","41",,,"SMOLTS; IHN +","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20060830","USFWS","USFWS","07","0501020303","3",,,,,"1","3","1996","19970409","19970409","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B",,"4.83","72","N","5000","31826",,,"0009","368025","5000","1675","C","0.05","39",,,"SMOLTS; IHN +","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20060830","USFWS","USFWS","07","0501020304","3",,,,,"1","3","1996","19970415","19970415","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B",,"5.9","73","N","5000","31413",,,"0009","389986","5000","3490","C","0.1","36",,,"SMOLTS; IHN +","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20060830","USFWS","USFWS","07","0501020305","3",,,,,"1","3","1996","19970415","19970415","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B",,"5.38","74","N","5000","34517",,,"0009","387384","5000","704","C","0.02","36",,,"SMOLTS; IHN +","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20060830","USFWS","USFWS","07","0501020306","3",,,,,"1","3","1996","19970415","19970415","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B",,"5.22","73","N","5000","34492",,,"0009","399715","5000","1815","C","0.05","34",,,"SMOLTS; IHN +","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20060830","USFWS","USFWS","07","0501020307","3",,,,,"1","3","1996","19970415","19970415","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B",,"5.39","73","N","5000","34829",,,"0009","398205","5000","1451","C","0.04","31",,,"SMOLTS; IHN +","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
